상호명,지점명,시도명,시군구명,도로명주소
스타벅스약수역점,약수역점,서울특별시,중구,서울특별시 중구 다산로 129
스타벅스회현역점,회현역점,서울특별시,중구,서울특별시 중구 퇴계로 72
스타벅스숭실대입구역점,숭실대입구역점,서울특별시,동작구,서울특별시 동작구 상도로 354
스타벅스명동입구점,명동입구점,서울특별시,중구,서울특별시 중구 남대문로 68-1
스타벅스새문안로점,새문안로점,서울특별시,종로구,서울특별시 종로구 새문안로 92
스타벅스,신당역사거리점,서울특별시,중구,서울특별시 중구 다산로 258
스타벅스,영등포신길DT점,서울특별시,영등포구,서울특별시 영등포구 신길로 137
스타벅스대치사거리점,대치사거리점,서울특별시,강남구,서울특별시 강남구 삼성로 402
스타벅스,신촌오거리점,서울특별시,마포구,서울특별시 마포구 신촌로16길 10
스타벅스중구저동점,중구저동점,서울특별시,중구,서울특별시 중구 수표로 34
스타벅스,여의도일신점,서울특별시,영등포구,서울특별시 영등포구 은행로 11
스타벅스커피여의도IFC1F,,서울특별시,영등포구,서울특별시 영등포구 국제금융로 10
스타벅스,보라매타운점,서울특별시,동작구,서울특별시 동작구 보라매로5길 43
스타벅스,명동남산,서울특별시,중구,서울특별시 중구 퇴계로 132
스타벅스,서울대치과병원점,서울특별시,종로구,서울특별시 종로구 대학로 101
스타벅스,구의역점,서울특별시,광진구,서울특별시 광진구 아차산로 373
스타벅스강남점,강남점,서울특별시,강남구,서울특별시 강남구 강남대로 390
스타벅스연대동문,연대동문점,서울특별시,서대문구,서울특별시 서대문구 성산로 565
스타벅스가든파이브,,서울특별시,송파구,서울특별시 송파구 충민로 10
스타벅스,큰길타워점,서울특별시,강남구,서울특별시 강남구 테헤란로 223
스타벅스차병원사거리점,차병원사거리점,서울특별시,강남구,서울특별시 강남구 봉은사로 213
스타벅스커피가산브이타워,,서울특별시,금천구,서울특별시 금천구 가산디지털1로 128
스타벅스동교삼거리점,동교삼거리점,서울특별시,서대문구,서울특별시 서대문구 신촌로 1
스타벅스낙성대DT점,낙성대DT점,서울특별시,관악구,서울특별시 관악구 남부순환로 1948
스타벅스압구정로데오역,,서울특별시,강남구,서울특별시 강남구 선릉로 836
스타벅스,송파개롱역점,서울특별시,송파구,서울특별시 송파구 마천로7길 14
스타벅스,청담공원점,서울특별시,강남구,서울특별시 강남구 학동로 506
스타벅스,서초동점,서울특별시,서초구,서울특별시 서초구 남부순환로339길 64
스타벅스,이대이씨씨점,서울특별시,서대문구,서울특별시 서대문구 이화여대길 52
스타벅스,종암점,서울특별시,성북구,서울특별시 성북구 종암로28길 40
스타벅스성신여대정문,,서울특별시,성북구,서울특별시 성북구 보문로34길 62
스타벅스구파발역점,구파발역점,서울특별시,은평구,서울특별시 은평구 진관2로 12
스타벅스커피마포염리,,서울특별시,마포구,서울특별시 마포구 독막로 311
스타벅스,국회의사당역점,서울특별시,영등포구,서울특별시 영등포구 의사당대로 8
스타벅스,미아뉴타운점,서울특별시,강북구,서울특별시 강북구 삼양로 161
스타벅스,송파개롱역점,서울특별시,송파구,서울특별시 송파구 오금로 420
스타벅스한남동점,한남동점,서울특별시,용산구,서울특별시 용산구 독서당로 94
스타벅스,목동오목로점,서울특별시,양천구,서울특별시 양천구 오목로 279
스타벅스화곡DT점,화곡DT점,서울특별시,강서구,서울특별시 강서구 등촌로 57
스타벅스,용산역써밋R점,서울특별시,용산구,서울특별시 용산구 한강대로 69
스타벅스문정하비오점,문정하비오점,서울특별시,송파구,서울특별시 송파구 송파대로 111
스타벅스송파위례점,송파위례점,서울특별시,송파구,서울특별시 송파구 위례광장로 230
스타벅스,강남구청정문점,서울특별시,강남구,서울특별시 강남구 학동로 419
스타벅스월계이마트점,월계이마트점,서울특별시,노원구,서울특별시 노원구 마들로3길 15
스타벅스,국회대로점,서울특별시,영등포구,서울특별시 영등포구 국회대로 786
스타벅스,마포경찰서후문,서울특별시,마포구,서울특별시 마포구 마포대로 173-14
스타벅스,신림DT점,서울특별시,관악구,서울특별시 관악구 남부순환로 1419
스타벅스,착한빵,서울특별시,중구,서울특별시 중구 동호로7길 31
스타벅스,미스리,서울특별시,금천구,서울특별시 금천구 가산디지털2로 53
스타벅스,미스리,서울특별시,종로구,서울특별시 종로구 북촌로5가길 27
스타벅스,청담사거리점,서울특별시,강남구,서울특별시 강남구 도산대로 458
스타벅스방이역점,방이역점,서울특별시,송파구,서울특별시 송파구 마천로 53
스타벅스,을지로내외빌딩점,서울특별시,중구,서울특별시 중구 을지로 51
스타벅스,연신내역사거리점,서울특별시,은평구,서울특별시 은평구 통일로 842
스타벅스,서초우성사거리점,서울특별시,서초구,서울특별시 서초구 강남대로 343
스타벅스,구파발사거리,서울특별시,은평구,서울특별시 은평구 진관3로 21
스타벅스구로디지털타워점,구로디지털타워점,서울특별시,구로구,서울특별시 구로구 디지털로32길 30
스타벅스,압구정역2점,서울특별시,강남구,서울특별시 강남구 논현로 841
스타벅스,천호이마트점,서울특별시,강동구,서울특별시 강동구 천호대로 1015-14
스타벅스잠실대교남단점,잠실대교남단점,서울특별시,송파구,서울특별시 송파구 올림픽로35길 141
스타벅스,홍제역점,서울특별시,서대문구,서울특별시 서대문구 통일로 451
스타벅스,가양역점,서울특별시,강서구,서울특별시 강서구 양천로 476
스타벅스,한강진역점,서울특별시,용산구,서울특별시 용산구 이태원로 252
스타벅스신도림점,신도림점,서울특별시,구로구,서울특별시 구로구 경인로 610
스타벅스역점,,서울특별시,동작구,서울특별시 동작구 상도로 102
스타벅스,서초구청점,서울특별시,서초구,서울특별시 서초구 남부순환로 2557
스타벅스,신촌역점,서울특별시,서대문구,서울특별시 서대문구 신촌로 73
스타벅스송파구청점,송파구청점,서울특별시,송파구,서울특별시 송파구 오금로 87
스타벅스,은평구청입구점,서울특별시,은평구,서울특별시 은평구 은평로 170
스타벅스건국클래식점,건국클래식점,서울특별시,광진구,서울특별시 광진구 능동로 90
STARBUCKSCOFFEE,,서울특별시,서초구,서울특별시 서초구 신반포로 176
스타벅스을지로센타,을지로센터,서울특별시,중구,서울특별시 중구 을지로5길 16
스타벅스,갤러리아팰리스점,서울특별시,송파구,서울특별시 송파구 올림픽로 212
스타벅스숙대입구역점,숙대입구역점,서울특별시,용산구,서울특별시 용산구 한강대로 291
스타벅스연희DT점,연희DT점,서울특별시,서대문구,서울특별시 서대문구 연희로 144
스타벅스삼선교점,삼선교점,서울특별시,성북구,서울특별시 성북구 동소문로 10
스타벅스신천역점,신천역점,서울특별시,송파구,서울특별시 송파구 올림픽로 96
스타벅스,묵동이마트점,서울특별시,중랑구,서울특별시 중랑구 동일로 932
스타벅스예술의전당점,예술의전당점,서울특별시,서초구,서울특별시 서초구 남부순환로323길 1
스타벅스신림사거리점,신림사거리점,서울특별시,관악구,서울특별시 관악구 남부순환로 1619
스타벅스,보라매대교점,서울특별시,관악구,서울특별시 관악구 보라매로3길 23
스타벅스,굽은다리역점,서울특별시,강동구,서울특별시 강동구 양재대로 1568
스타벅스,삼성점,서울특별시,강남구,서울특별시 강남구 테헤란로 443
스타벅스,중앙대점,서울특별시,동작구,서울특별시 동작구 흑석로 75-1
스타벅스,송파방이DT점,서울특별시,송파구,서울특별시 송파구 오금로 241
스타벅스,내방역점,서울특별시,서초구,서울특별시 서초구 방배로 184
스타벅스,잠실역점,서울특별시,송파구,서울특별시 송파구 송파대로 562
스타벅스,고대안암병원점,서울특별시,성북구,서울특별시 성북구 안암로 145
스타벅스,이태원거리점,서울특별시,용산구,서울특별시 용산구 이태원로 213
스타벅스,성수역점,서울특별시,성동구,서울특별시 성동구 성수이로 94
스타벅스외대정문점,외대정문점,서울특별시,동대문구,서울특별시 동대문구 이문로 93
스타벅스,도곡역점,서울특별시,강남구,서울특별시 강남구 남부순환로 2909
