????(???)?,??,???,?? (?),?,0 - 4?,5 - 9?,10 - 14?,15 - 19?,20 - 24?,25 - 29?,30 - 34?,35 - 39?,40 - 44?,45 - 49?,50 - 54?,55 - 59?,60 - 64?,65 - 69?,70 - 74?,75 - 79?,80? ??,80 - 84?,85? ??,85 - 89?,90 - 94?,95 - 99?,100? ??
 ???,??,50 - 54?,6214.5,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,55 - 59?,5980.5,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,60 - 64?,5325.5,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,65 - 69?,3893,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,70 - 74?,3402.5,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,75 - 79?,3081,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,80? ??,3859,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,80 - 84?,2165,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,85? ??,1694,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,85 - 89?,1106.5,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,90 - 94?,450.5,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,95 - 99?,117,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,100? ??,20,,,,,,,,,,,,,,,,,,,,,,,,
 ??,?,?,121519.5,,,,,,,,,,,,,,,,,,,,,,,,
 ??,?,0 - 4?,3482.5,,,,,,,,,,,,,,,,,,,,,,,,
 ??,?,5 - 9?,3611,,,,,,,,,,,,,,,,,,,,,,,,
 ??,?,10 - 14?,3092.5,,,,,,,,,,,,,,,,,,,,,,,,
 ??,?,15 - 19?,3869,,,,,,,,,,,,,,,,,,,,,,,,
 ??,?,20 - 24?,7605,,,,,,,,,,,,,,,,,,,,,,,,
 ??,?,25 - 29?,10768,,,,,,,,,,,,,,,,,,,,,,,,
 ??,?,30 - 34?,10031,,,,,,,,,,,,,,,,,,,,,,,,
 ??,?,35 - 39?,10051,,,,,,,,,,,,,,,,,,,,,,,,
 ??,?,40 - 44?,8464.5,,,,,,,,,,,,,,,,,,,,,,,,
 ??,?,45 - 49?,9184,,,,,,,,,,,,,,,,,,,,,,,,
 ??,?,50 - 54?,9864,,,,,,,,,,,,,,,,,,,,,,,,
 ??,?,55 - 59?,10108,,,,,,,,,,,,,,,,,,,,,,,,
 ??,?,60 - 64?,9512,,,,,,,,,,,,,,,,,,,,,,,,
 ??,?,65 - 69?,6871.5,,,,,,,,,,,,,,,,,,,,,,,,
 ??,?,70 - 74?,5474.5,,,,,,,,,,,,,,,,,,,,,,,,
 ??,?,75 - 79?,4501,,,,,,,,,,,,,,,,,,,,,,,,
 ??,?,80? ??,5030,,,,,,,,,,,,,,,,,,,,,,,,
 ??,?,80 - 84?,2904,,,,,,,,,,,,,,,,,,,,,,,,
 ??,?,85? ??,2126,,,,,,,,,,,,,,,,,,,,,,,,
 ??,?,85 - 89?,1428.5,,,,,,,,,,,,,,,,,,,,,,,,
 ??,?,90 - 94?,557.5,,,,,,,,,,,,,,,,,,,,,,,,
 ??,?,95 - 99?,124,,,,,,,,,,,,,,,,,,,,,,,,
